0,0.04,"(4, 6)","(4, 1)",5,91,48,144,13,130,88,231
1,0.04,"(13, 6)","(0, 7)",6,126,100,232,10,207,177,394
2,0.06,"(21, 27)","(28, 8)",10,91,63,164,4,53,49,106
3,0.08,"(0, 25)","(8, 25)",22,98,89,209,7,137,126,270
4,0.08,"(8, 17)","(28, 20)",8,119,75,202,6,116,102,224
5,0.02,"(20, 4)","(9, 29)",8,133,89,230,9,172,133,314
6,0.08,"(22, 14)","(5, 6)",9,140,106,255,18,144,133,295
7,0.02,"(21, 28)","(18, 24)",8,133,54,195,17,151,81,249
8,0.12,"(24, 19)","(15, 0)",10,84,80,174,20,95,97,212
9,0.18,"(9, 2)","(29, 8)",10,161,146,317,4,130,120,254
10,0.02,"(19, 27)","(27, 13)",15,147,128,290,7,242,239,488
11,0.04,"(21, 19)","(29, 13)",3,189,131,323,17,123,119,259
12,0.06,"(22, 22)","(9, 16)",8,63,36,107,11,123,113,247
13,0.06,"(17, 26)","(18, 14)",9,63,42,114,21,53,64,138
14,0.2,"(4, 28)","(11, 0)",4,126,99,229,4,116,109,229
15,0.08,"(3, 11)","(8, 5)",9,105,78,192,4,67,44,115
16,0.14,"(29, 8)","(7, 22)",2,77,56,135,4,67,64,135
17,0.2,"(9, 2)","(11, 20)",4,98,81,183,4,144,132,280
18,0.2,"(5, 24)","(15, 8)",4,98,78,180,2,53,39,94
19,0.18,"(24, 5)","(8, 2)",5,154,140,299,16,228,223,467
20,0.2,"(15, 16)","(12, 0)",4,56,33,93,5,95,82,182
21,0.16,"(28, 22)","(1, 11)",12,77,60,149,9,95,92,196
22,0.12,"(0, 16)","(16, 26)",27,112,98,237,4,116,104,224
23,0.2,"(23, 1)","(11, 22)",10,91,72,173,6,88,80,174
24,0.16,"(5, 10)","(5, 5)",7,84,75,166,4,46,31,81
25,0.12,"(8, 20)","(24, 11)",3,105,77,185,10,95,82,187
26,0.02,"(0, 2)","(21, 5)",3,252,150,405,7,102,57,166
27,0.16,"(14, 24)","(19, 2)",6,147,129,282,3,102,71,176
28,0.18,"(20, 1)","(18, 8)",4,28,18,50,16,39,34,89
29,0.08,"(14, 14)","(18, 5)",8,70,47,125,16,74,60,150
30,0.12,"(16, 17)","(19, 15)",9,189,167,365,3,151,127,281
31,0.16,"(5, 2)","(4, 26)",5,133,100,238,8,158,139,305
32,0.1,"(2, 3)","(6, 19)",8,126,86,220,6,144,122,272
33,0.12,"(12, 25)","(15, 0)",8,91,68,167,9,102,95,206
34,0.14,"(26, 17)","(24, 22)",8,70,53,131,11,137,126,274
35,0.1,"(23, 24)","(20, 20)",26,77,59,162,4,46,27,77
36,0.14,"(23, 29)","(5, 6)",7,84,71,162,5,123,102,230
37,0.2,"(4, 25)","(17, 22)",7,77,53,137,9,102,81,192
38,0.1,"(1, 13)","(17, 0)",5,77,62,144,23,172,186,381
39,0.18,"(16, 6)","(11, 15)",18,63,42,123,12,60,54,126
40,0.14,"(18, 18)","(21, 0)",7,70,42,119,4,39,33,76
41,0.1,"(14, 0)","(18, 7)",10,49,36,95,5,53,34,92
42,0.04,"(3, 8)","(27, 4)",4,133,89,226,3,109,90,202
43,0.02,"(27, 6)","(26, 26)",15,189,158,362,6,144,126,276
44,0.06,"(26, 3)","(11, 22)",7,77,64,148,5,151,110,266
45,0.16,"(0, 23)","(10, 11)",15,49,43,107,9,81,68,158
46,0.08,"(7, 7)","(18, 11)",7,126,92,225,6,53,51,110
47,0.16,"(1, 27)","(17, 7)",10,70,64,144,4,116,90,210
48,0.02,"(14, 24)","(7, 28)",7,42,19,68,6,25,18,49
49,0.12,"(5, 20)","(0, 22)",6,56,23,85,7,18,15,40
50,0.04,"(15, 9)","(22, 19)",4,105,69,178,9,144,101,254
51,0.1,"(14, 27)","(25, 17)",4,147,100,251,5,116,91,212
52,0.1,"(9, 6)","(6, 29)",9,84,73,166,11,67,63,141
53,0.02,"(26, 20)","(22, 19)",15,84,51,150,44,11,50,105
54,0.2,"(18, 29)","(29, 24)",10,77,69,156,26,305,311,642
55,0.2,"(8, 29)","(13, 12)",5,140,114,259,6,74,65,145
56,0.16,"(5, 25)","(12, 27)",7,105,79,191,5,102,73,180
57,0.02,"(26, 12)","(13, 2)",2,70,37,109,2,263,192,457
58,0.18,"(20, 11)","(5, 29)",3,77,53,133,4,102,91,197
59,0.08,"(15, 22)","(2, 16)",12,182,153,347,6,137,107,250
60,0.18,"(7, 12)","(12, 18)",5,112,84,201,5,53,40,98
61,0.08,"(24, 1)","(28, 5)",7,91,46,144,4,46,37,87
62,0.12,"(4, 10)","(21, 4)",8,189,172,369,22,67,68,157
63,0.02,"(26, 2)","(14, 28)",10,189,148,347,4,88,72,164
64,0.1,"(0, 11)","(0, 15)",6,35,25,66,11,18,17,46
65,0.14,"(19, 10)","(16, 5)",9,42,27,78,5,46,44,95
66,0.1,"(12, 10)","(16, 17)",4,98,73,175,10,39,38,87
67,0.1,"(23, 29)","(20, 22)",5,63,36,104,6,60,47,113
68,0.2,"(2, 10)","(4, 5)",10,84,67,161,10,60,55,125
69,0.18,"(4, 23)","(0, 28)",6,63,49,118,5,67,30,102
70,0.12,"(21, 15)","(13, 17)",10,140,125,275,8,18,17,43
71,0.12,"(0, 9)","(29, 8)",2,84,67,153,2,116,91,209
72,0.04,"(14, 14)","(9, 1)",32,133,109,274,10,102,98,210
73,0.16,"(0, 29)","(20, 2)",5,133,100,238,7,81,63,151
74,0.06,"(1, 22)","(23, 15)",10,168,137,315,11,151,135,297
75,0.1,"(24, 25)","(21, 19)",8,98,71,177,9,67,59,135
76,0.18,"(27, 29)","(3, 18)",11,105,90,206,13,123,121,257
77,0.06,"(4, 9)","(0, 26)",10,126,92,228,6,74,41,121
78,0.18,"(0, 9)","(27, 12)",6,98,65,169,9,102,101,212
79,0.08,"(15, 13)","(26, 22)",11,126,81,218,6,116,76,198
80,0.08,"(2, 23)","(3, 0)",11,84,69,164,9,137,128,274
81,0.12,"(23, 24)","(19, 23)",6,35,20,61,6,39,24,69
82,0.08,"(5, 16)","(25, 7)",11,98,79,188,3,95,89,187
83,0.18,"(7, 28)","(17, 16)",7,112,89,208,5,81,70,156
84,0.06,"(6, 17)","(8, 10)",20,77,63,160,8,81,65,154
85,0.18,"(13, 5)","(27, 10)",7,98,70,175,8,95,80,183
86,0.2,"(5, 5)","(2, 29)",4,147,125,276,7,144,135,286
87,0.04,"(28, 22)","(2, 20)",6,189,149,344,3,165,145,313
88,0.1,"(7, 8)","(18, 28)",6,168,143,317,9,116,96,221
89,0.1,"(25, 1)","(7, 20)",28,119,106,253,17,74,69,160
90,0.16,"(26, 15)","(17, 3)",3,147,121,271,4,95,90,189
91,0.04,"(6, 13)","(16, 0)",4,91,53,148,5,116,83,204
92,0.16,"(21, 23)","(9, 21)",8,49,36,93,11,81,84,176
93,0.14,"(8, 21)","(27, 29)",9,84,68,161,6,109,104,219
94,0.14,"(21, 8)","(8, 27)",9,77,59,145,13,109,103,225
95,0.12,"(5, 21)","(16, 21)",5,84,69,158,3,109,81,193
96,0.06,"(3, 8)","(17, 9)",6,175,122,303,9,130,113,252
97,0.2,"(3, 10)","(23, 0)",5,168,153,326,7,74,71,152
98,0.2,"(0, 15)","(28, 23)",3,119,87,209,5,116,113,234
99,0.14,"(24, 29)","(9, 28)",5,63,49,117,15,81,78,174
100,0.18,"(21, 20)","(23, 23)",6,91,67,164,8,60,50,118
101,0.2,"(18, 7)","(13, 1)",6,63,42,111,7,32,32,71
102,0.18,"(18, 22)","(26, 11)",18,77,68,163,4,74,68,146
103,0.14,"(19, 11)","(0, 21)",12,70,47,129,10,151,146,307
104,0.14,"(10, 6)","(21, 1)",3,84,60,147,2,109,89,200
105,0.12,"(19, 24)","(27, 25)",10,63,44,117,5,60,50,115
106,0.16,"(8, 1)","(29, 0)",11,112,90,213,23,144,160,327
107,0.16,"(26, 12)","(4, 18)",6,84,67,157,5,102,85,192
108,0.14,"(5, 10)","(26, 3)",8,112,82,202,5,123,110,238
109,0.12,"(27, 5)","(6, 19)",7,105,88,200,10,67,63,140
110,0.06,"(6, 5)","(28, 21)",9,84,74,167,5,116,91,212
111,0.2,"(11, 6)","(2, 7)",15,56,47,118,7,32,28,67
112,0.02,"(23, 28)","(1, 24)",12,217,126,355,5,130,95,230
113,0.04,"(18, 7)","(13, 11)",10,56,36,102,7,39,20,66
114,0.1,"(17, 14)","(7, 14)",11,105,77,193,7,60,40,107
115,0.02,"(7, 3)","(22, 0)",8,63,43,114,9,123,67,199
116,0.08,"(21, 27)","(3, 29)",5,77,65,147,4,102,75,181
117,0.14,"(27, 28)","(13, 2)",4,91,80,175,4,81,75,160
118,0.2,"(0, 10)","(20, 1)",7,84,71,162,3,95,79,177
119,0.14,"(13, 9)","(1, 16)",5,98,57,160,8,109,102,219
120,0.08,"(5, 18)","(25, 23)",4,105,67,176,4,123,99,226
121,0.18,"(28, 12)","(3, 1)",3,98,78,179,4,67,65,136
122,0.1,"(18, 29)","(3, 12)",21,98,91,210,9,123,111,243
123,0.16,"(11, 16)","(12, 6)",14,70,62,146,5,67,65,137
124,0.2,"(0, 26)","(23, 22)",8,182,165,355,9,137,117,263
125,0.12,"(17, 28)","(18, 8)",6,70,56,132,6,81,80,167
126,0.02,"(12, 6)","(24, 15)",9,280,179,468,7,123,100,230
127,0.18,"(4, 25)","(11, 15)",11,70,66,147,12,74,74,160
128,0.1,"(5, 15)","(11, 23)",9,147,113,269,11,67,57,135
129,0.02,"(25, 27)","(26, 21)",9,161,92,262,6,228,138,372
130,0.04,"(13, 17)","(9, 9)",6,49,24,79,7,109,82,198
131,0.12,"(18, 12)","(16, 1)",29,105,101,235,8,81,76,165
132,0.06,"(18, 29)","(15, 28)",18,28,23,69,7,81,42,130
133,0.16,"(4, 17)","(14, 14)",5,112,97,214,7,95,92,194
134,0.2,"(7, 17)","(21, 13)",6,63,50,119,5,102,78,185
135,0.16,"(0, 4)","(13, 19)",4,63,46,113,3,46,39,88
136,0.02,"(24, 12)","(19, 2)",19,147,86,252,9,235,163,407
137,0.08,"(29, 25)","(3, 17)",8,119,81,208,5,158,145,308
138,0.04,"(3, 17)","(4, 24)",8,91,73,172,7,102,56,165
139,0.14,"(0, 13)","(18, 22)",6,91,77,174,6,81,73,160
140,0.06,"(7, 25)","(29, 26)",5,63,48,116,3,116,101,220
141,0.16,"(28, 12)","(20, 21)",4,91,64,159,4,53,50,107
142,0.06,"(8, 27)","(18, 17)",14,196,127,337,6,95,74,175
143,0.06,"(15, 11)","(0, 0)",16,182,172,370,8,144,145,297
144,0.18,"(0, 13)","(25, 15)",4,98,75,177,6,60,62,128
145,0.14,"(15, 2)","(16, 5)",8,28,11,47,7,32,23,62
146,0.16,"(12, 7)","(8, 29)",15,119,105,239,6,88,83,177
147,0.06,"(19, 5)","(4, 4)",7,70,58,135,17,151,142,310
148,0.02,"(26, 0)","(10, 24)",4,105,61,170,14,326,269,609
149,0.04,"(20, 7)","(21, 27)",5,147,119,271,24,109,91,224
150,0.14,"(29, 4)","(4, 15)",3,112,93,208,8,74,65,147
151,0.02,"(14, 22)","(12, 12)",5,112,73,190,6,123,101,230
152,0.18,"(29, 7)","(0, 4)",3,98,71,172,11,109,110,230
153,0.02,"(10, 11)","(24, 17)",11,126,86,223,9,130,109,248
154,0.16,"(17, 10)","(13, 6)",10,56,33,99,9,25,24,58
155,0.14,"(13, 0)","(20, 0)",21,63,65,149,17,46,45,108
156,0.16,"(28, 21)","(24, 21)",2,56,26,84,5,11,12,28
157,0.12,"(2, 14)","(10, 11)",14,49,41,104,8,67,43,118
158,0.14,"(1, 29)","(9, 2)",4,140,105,249,7,88,86,181
159,0.08,"(29, 26)","(10, 17)",4,147,111,262,3,95,81,179
160,0.1,"(24, 19)","(24, 23)",11,49,40,100,8,144,133,285
161,0.16,"(10, 18)","(10, 2)",6,70,61,137,10,74,61,145
162,0.14,"(26, 3)","(19, 12)",7,77,45,129,10,53,42,105
163,0.02,"(12, 21)","(19, 16)",3,63,49,115,4,60,47,111
164,0.04,"(19, 28)","(26, 5)",5,126,95,226,6,158,130,294
165,0.1,"(2, 17)","(18, 8)",7,91,70,168,12,137,114,263
166,0.1,"(17, 10)","(29, 28)",5,84,74,163,7,88,83,178
167,0.2,"(7, 5)","(21, 9)",4,84,71,159,4,109,97,210
168,0.02,"(8, 3)","(10, 7)",6,77,47,130,8,228,164,400
169,0.06,"(6, 12)","(5, 19)",7,133,83,223,6,102,66,174
170,0.16,"(4, 20)","(21, 25)",14,147,129,290,12,60,62,134
171,0.06,"(8, 15)","(12, 5)",21,133,103,257,7,123,101,231
172,0.06,"(19, 11)","(25, 8)",9,84,52,145,8,81,55,144
173,0.14,"(25, 14)","(12, 18)",6,77,43,126,5,130,114,249
174,0.1,"(16, 24)","(27, 22)",13,91,78,182,5,81,63,149
175,0.14,"(2, 25)","(10, 28)",6,70,45,121,6,53,46,105
176,0.08,"(9, 17)","(23, 16)",7,98,78,183,5,130,85,220
177,0.08,"(17, 21)","(21, 3)",9,49,36,94,9,74,72,155
