0,0.04,"(29, 12)","(7, 10)",7,96,64,167,9,146,90,245
1,0.1,"(1, 18)","(28, 29)",5,96,78,179,6,116,111,233
2,0.08,"(19, 13)","(23, 29)",4,76,61,141,4,76,49,129
3,0.08,"(20, 4)","(26, 17)",5,121,95,221,5,126,83,214
4,0.14,"(10, 1)","(24, 4)",22,76,70,168,4,76,59,139
5,0.14,"(10, 26)","(9, 11)",11,81,81,173,6,46,35,87
6,0.16,"(9, 26)","(5, 22)",3,26,11,40,5,96,46,147
7,0.08,"(26, 6)","(10, 22)",15,111,110,236,17,116,97,230
8,0.08,"(24, 24)","(18, 24)",8,26,23,57,5,86,40,131
9,0.06,"(26, 21)","(5, 5)",7,86,70,163,8,96,85,189
10,0.02,"(3, 24)","(21, 7)",7,91,77,175,5,156,120,281
11,0.08,"(26, 9)","(12, 12)",6,61,54,121,16,76,63,155
12,0.18,"(19, 25)","(15, 26)",11,26,25,62,5,56,27,88
13,0.08,"(4, 8)","(24, 28)",34,71,83,188,18,96,96,210
14,0.2,"(9, 11)","(17, 11)",6,81,63,150,4,106,79,189
15,0.2,"(7, 26)","(9, 2)",5,131,114,250,6,76,55,137
16,0.04,"(8, 16)","(21, 14)",5,206,168,379,7,156,117,280
17,0.1,"(28, 24)","(29, 27)",2,81,60,143,3,56,26,85
18,0.14,"(10, 12)","(4, 9)",4,61,53,118,5,76,37,118
19,0.08,"(26, 24)","(18, 3)",6,141,116,263,5,156,138,299
20,0.16,"(26, 21)","(18, 0)",9,71,58,138,4,66,55,125
21,0.06,"(26, 25)","(28, 14)",12,56,51,119,12,46,43,101
22,0.06,"(23, 3)","(1, 6)",7,106,87,200,9,126,80,215
23,0.08,"(12, 29)","(14, 23)",10,96,73,179,10,86,52,148
24,0.18,"(2, 22)","(13, 25)",6,106,92,204,5,156,124,285
25,0.2,"(22, 24)","(18, 22)",8,21,16,45,4,16,14,34
26,0.02,"(4, 25)","(10, 17)",6,46,37,89,6,146,78,230
27,0.02,"(0, 12)","(12, 14)",4,256,173,433,8,176,119,303
28,0.12,"(26, 28)","(18, 16)",6,71,52,129,8,76,63,147
29,0.04,"(15, 9)","(18, 9)",11,111,69,191,7,136,68,211
30,0.12,"(15, 1)","(1, 9)",15,56,54,125,7,76,57,140
31,0.16,"(3, 21)","(10, 9)",9,61,56,126,8,96,86,190
32,0.14,"(1, 0)","(10, 29)",23,161,161,345,7,106,70,183
33,0.12,"(29, 17)","(6, 10)",2,86,70,158,8,86,66,160
34,0.1,"(16, 21)","(29, 22)",5,51,42,98,8,96,80,184
35,0.08,"(12, 25)","(14, 3)",6,71,51,128,5,66,50,121
36,0.12,"(1, 6)","(21, 7)",3,86,60,149,3,96,63,162
37,0.06,"(22, 27)","(4, 0)",5,141,96,242,3,96,63,162
38,0.06,"(21, 2)","(17, 26)",4,71,55,130,8,166,116,290
39,0.02,"(3, 20)","(15, 7)",3,191,183,377,17,166,86,269
40,0.12,"(5, 22)","(25, 3)",5,146,125,276,4,126,103,233
41,0.08,"(26, 19)","(5, 0)",7,61,57,125,10,86,82,178
42,0.02,"(29, 6)","(20, 21)",4,56,46,106,2,326,141,469
43,0.2,"(0, 3)","(1, 15)",7,56,36,99,14,36,27,77
44,0.14,"(2, 2)","(10, 14)",9,51,40,100,21,76,66,163
45,0.12,"(14, 24)","(27, 24)",6,111,93,210,3,116,85,204
46,0.12,"(19, 25)","(23, 16)",4,96,78,178,5,76,65,146
47,0.2,"(4, 27)","(8, 28)",3,26,17,46,4,76,51,131
48,0.18,"(11, 19)","(16, 25)",19,166,164,349,15,86,72,173
49,0.12,"(18, 29)","(20, 6)",16,81,78,175,6,156,108,270
50,0.18,"(19, 16)","(17, 24)",7,86,70,163,10,76,65,151
51,0.16,"(19, 17)","(12, 12)",16,36,35,87,6,36,25,67
52,0.16,"(1, 0)","(24, 1)",2,161,138,301,4,126,87,217
53,0.08,"(24, 29)","(18, 1)",6,116,97,219,16,156,108,280
54,0.14,"(23, 6)","(26, 1)",6,56,47,109,6,96,75,177
55,0.14,"(27, 11)","(7, 29)",5,66,57,128,10,106,75,191
56,0.14,"(3, 13)","(25, 11)",5,206,192,403,10,186,155,351
57,0.02,"(1, 24)","(13, 17)",4,156,108,268,7,276,194,477
58,0.04,"(8, 4)","(24, 11)",9,86,84,179,3,96,59,158
59,0.06,"(28, 18)","(17, 10)",3,81,58,142,6,86,58,150
60,0.08,"(23, 21)","(25, 2)",6,51,42,99,12,196,173,381
61,0.16,"(5, 8)","(6, 12)",10,56,41,107,8,46,31,85
62,0.12,"(8, 10)","(12, 5)",7,31,23,61,6,66,49,121
63,0.02,"(26, 10)","(4, 19)",9,216,178,403,3,166,98,267
64,0.08,"(27, 8)","(12, 9)",19,91,87,197,14,66,50,130
65,0.1,"(23, 24)","(14, 15)",3,71,51,125,6,106,60,172
66,0.04,"(29, 25)","(16, 25)",2,36,23,61,7,36,24,67
67,0.02,"(0, 12)","(15, 5)",7,196,165,368,5,106,72,183
68,0.18,"(0, 22)","(21, 9)",16,111,113,240,2,96,64,162
69,0.16,"(23, 8)","(3, 7)",5,136,110,251,8,86,65,159
70,0.06,"(5, 14)","(27, 27)",10,96,87,193,17,76,64,157
71,0.08,"(12, 15)","(15, 17)",19,36,38,93,6,66,54,126
72,0.06,"(25, 15)","(0, 25)",6,76,60,142,39,96,102,237
73,0.06,"(2, 22)","(22, 7)",9,111,97,217,3,96,86,185
74,0.04,"(20, 6)","(26, 25)",10,111,67,188,9,106,73,188
75,0.2,"(8, 25)","(13, 10)",7,41,34,82,6,96,54,156
76,0.02,"(26, 16)","(23, 6)",5,261,198,464,6,216,141,363
77,0.02,"(9, 16)","(19, 10)",25,256,244,525,5,76,40,121
78,0.12,"(29, 21)","(21, 29)",4,131,111,246,2,46,37,85
79,0.04,"(21, 2)","(22, 26)",4,211,177,392,3,196,112,311
80,0.16,"(28, 5)","(3, 1)",12,96,88,196,8,126,100,234
81,0.02,"(17, 1)","(28, 18)",5,151,131,287,9,186,95,290
82,0.04,"(5, 21)","(16, 10)",8,156,138,302,6,166,127,299
83,0.14,"(14, 5)","(18, 28)",5,96,86,187,14,96,86,196
84,0.14,"(16, 29)","(16, 1)",5,136,130,271,8,116,116,240
85,0.02,"(11, 18)","(6, 12)",8,161,91,260,8,66,32,106
86,0.12,"(10, 21)","(15, 15)",3,81,63,147,5,96,87,188
87,0.02,"(21, 7)","(16, 25)",15,236,207,458,23,286,206,515
