test,alpha,bot_pos,rat_pos,neighbor_sensings_1,ping_tries_1,moves_1,total_actions_1,neighbor_sensings_2,ping_tries_2,moves_2,total_actions_2
773,0.12,"(6, 7)","(26, 23)",8,70,77,155,15,55,54,124
774,0.18,"(24, 13)","(20, 19)",4,74,77,155,3,161,136,300
775,0.02,"(22, 22)","(28, 17)",10,249,258,517,12,126,122,260
776,0.16,"(11, 24)","(3, 21)",6,105,110,221,5,279,234,518
777,0.08,"(14, 20)","(25, 24)",5,122,126,253,8,68,61,137
778,0.14,"(19, 8)","(18, 22)",13,57,69,139,12,137,116,265
779,0.06,"(1, 7)","(10, 8)",7,69,75,151,7,136,130,273
780,0.02,"(22, 17)","(1, 4)",11,395,405,811,3,63,47,113
781,0.1,"(22, 20)","(23, 15)",5,26,30,61,4,531,499,1034
782,0.06,"(4, 16)","(9, 10)",2,75,76,153,11,32,28,71
783,0.12,"(5, 21)","(27, 9)",5,67,71,143,6,185,165,356
784,0.1,"(7, 10)","(3, 18)",11,29,39,79,7,71,57,135
785,0.02,"(22, 15)","(16, 8)",4,121,124,249,4,109,92,205
786,0.12,"(2, 16)","(16, 17)",5,152,156,313,15,117,107,239
787,0.04,"(20, 23)","(14, 13)",4,111,114,229,13,127,124,264
788,0.14,"(26, 5)","(4, 24)",16,72,87,175,5,97,85,187
789,0.02,"(22, 16)","(12, 8)",4,298,301,603,22,96,105,223
790,0.14,"(26, 24)","(5, 26)",6,112,117,235,5,83,69,157
791,0.18,"(6, 5)","(9, 10)",19,45,63,127,12,34,29,75
792,0.06,"(6, 12)","(28, 27)",11,37,47,95,15,49,50,114
793,0.06,"(20, 5)","(10, 13)",6,131,136,273,6,38,31,75
794,0.14,"(27, 6)","(6, 15)",4,253,256,513,6,131,121,258
795,0.18,"(25, 24)","(15, 11)",12,114,125,251,7,66,62,135
796,0.08,"(16, 22)","(8, 24)",7,674,680,1361,7,102,96,205
797,0.04,"(6, 4)","(16, 21)",9,219,227,455,6,152,138,296
798,0.02,"(1, 6)","(11, 19)",4,289,292,585,5,156,143,304
799,0.06,"(19, 8)","(23, 25)",4,107,110,221,5,92,84,181
800,0.06,"(21, 8)","(5, 25)",4,400,403,807,12,317,291,620
801,0.16,"(13, 3)","(26, 15)",5,53,57,115,7,241,221,469
802,0.18,"(29, 25)","(10, 2)",14,82,95,191,7,226,199,432
803,0.06,"(3, 9)","(20, 21)",11,91,101,203,7,61,57,125
804,0.12,"(9, 17)","(3, 10)",10,137,146,293,3,162,148,313
